Mouhamadou Gueye	efficiency, finishing	shot blocking, rim protection
N'Faly Dante	free-throw shooting	rim protection, shot blocking
Nick Richards	strength, finishing, midrange	steals, three-point shooting
Patrick Baldwin Jr.	strength, rim protection, interior defense	free-throw shooting, playmaking
Pete Nance	efficiency, three-point shooting, finishing	steals, shot blocking
Rui Hachimura	three-point shooting, efficiency	rim protection, shot blocking
Sharife Cooper	free-throw shooting, efficiency	shot blocking, rim protection
Sion James	free-throw shooting	shot blocking, rim protection
Spencer Jones	efficiency	shot blocking, free-throw shooting
Svi Mykhailiuk	free-throw shooting, three-point shooting, efficiency	rim protection, shot blocking
Taj Gibson	free-throw shooting	rim protection, shot blocking
Tony Bradley	efficiency, three-point shooting, strength	shot blocking, rim protection
Tre Scott	stamina, decision-making, steals	efficiency, playmaking
Tyrese Proctor	free-throw shooting	rim protection, shot blocking
Tyson Etienne	free-throw shooting, three-point shooting	rim protection, shot blocking
Tyus Jones	decision-making, midrange, finishing	rim protection, shot blocking
Yuki Kawamura	free-throw shooting	rim protection, shot blocking
Zeke Nnaji	midrange, finishing, free-throw shooting	three-point shooting, steals
Aaron Nesmith	free-throw shooting, three-point shooting	shot blocking, rim protection
Adama-Alpha Bal	free-throw shooting, three-point shooting	rim protection, shot blocking
Adou Thiero	finishing, midrange, efficiency	shot blocking, rim protection
Alex Morales	free-throw shooting	rim protection, shot blocking
Alijah Martin	free-throw shooting, perimeter defense, strength	efficiency, three-point shooting
Amir Coffey	three-point shooting, efficiency, midrange	shot blocking, rim protection
Andre Jackson Jr.	speed, scoring, strength	efficiency, shot blocking
Ben Sheppard	decision-making, free-throw shooting, stamina	rim protection, shot blocking
Bismack Biyombo	efficiency, finishing	shot blocking, rim protection
Bobi Klintman	strength, speed, scoring	rim protection, shot blocking
Bronny James	free-throw shooting	shot blocking, rim protection
Brooks Barnhizer	free-throw shooting, strength, speed	efficiency, shot blocking
Bryce McGowens	efficiency	rim protection, shot blocking
Buddy Boeheim	speed, scoring, ball handling	rim protection, shot blocking
Caleb Love	stamina, free-throw shooting, decision-making	rim protection, shot blocking
Cam Christie	free-throw shooting, speed, scoring	shot blocking, rim protection
Cam Thomas	free-throw shooting	rim protection, shot blocking
Chaz Lanier	free-throw shooting	rim protection, shot blocking
Chris Paul	decision-making, passing, playmaking	rim protection, shot blocking
Chucky Hepburn	steals, ball handling, speed	rim protection, shot blocking
CJ Huntley	finishing	rim protection, shot blocking
Colin Castleton	free-throw shooting	rim protection, shot blocking
Curtis Jones	midrange, decision-making, finishing	rim protection, shot blocking
Dalton Knecht	midrange, finishing, free-throw shooting	shot blocking, rim protection
Dario Šarić	free-throw shooting	rim protection, shot blocking
Dariq Whitehead	stamina, midrange, scoring	rim protection, shot blocking
Darius Brown II	strength, finishing, speed	rim protection, shot blocking
Drew Peterson	midrange, speed, athleticism	efficiency, shot blocking
Garrett Temple	perimeter defense, steals, speed	efficiency, three-point shooting
Gary Harris	free-throw shooting	shot blocking, rim protection
Gradey Dick	free-throw shooting	shot blocking, rim protection
Herbert Jones	free-throw shooting, steals	efficiency, shot blocking
Hunter Dickinson	free-throw shooting	efficiency, steals
Hunter Sallis	finishing	steals, three-point shooting
Hunter Tyson	free-throw shooting	shot blocking, efficiency
Isaac Jones	finishing	steals, three-point shooting
Jae'Sean Tate	finishing	rim protection, shot blocking
Jahmir Young	free-throw shooting	rim protection, shot blocking
Jahmyl Telfort	speed, scoring, stamina	rim protection, shot blocking
James Wiseman	finishing	steals, shot blocking
Javonte Cooke	free-throw shooting	rim protection, shot blocking
Jaylen Wells	stamina, free-throw shooting, three-point shooting	rim protection, shot blocking
Jeff Green	free-throw shooting	efficiency, rim protection
John Tonje	free-throw shooting	rim protection, shot blocking
Johni Broome	strength, scoring, speed	efficiency, three-point shooting
Jordan Clarkson	free-throw shooting	rim protection, shot blocking
Jordan Poole	free-throw shooting	shot blocking, rim protection
Julian Phillips	free-throw shooting	shot blocking, rim protection
KJ Simpson	steals, perimeter defense, speed	rim protection, shot blocking
Kobe Bufkin	free-throw shooting	efficiency, steals
Kobe Sanders	free-throw shooting, three-point shooting	rim protection, shot blocking
Kyle Lowry	free-throw shooting	efficiency, steals
Larry Nance Jr.	midrange, perimeter defense, finishing	shot blocking, rim protection
Leaky Black	free-throw shooting	efficiency, shot blocking
Lindy Waters III	midrange, finishing, athleticism	rim protection, shot blocking
Lucas Williamson	free-throw shooting	rim protection, shot blocking
Mac McClung	free-throw shooting, steals, perimeter defense	shot blocking, efficiency
Markelle Fultz	passing, decision-making, ball handling	rim protection, shot blocking
Max Shulga	free-throw shooting	rim protection, shot blocking
Maxi Kleber	midrange, finishing, athleticism	three-point shooting, ball handling
Miles Kelly	free-throw shooting	shot blocking, rim protection
Monte Morris	decision-making, speed, ball handling	efficiency, shot blocking
Nigel Hayes-Davis	speed, strength, scoring	efficiency, shot blocking
Nikola Jović	stamina, scoring, speed	efficiency, shot blocking
Nikola Topić	passing	rim protection, shot blocking
Noa Essengue	steals, ball handling, speed	rim protection, shot blocking
Noah Clowney	free-throw shooting	playmaking, shot blocking
Ousmane Dieng	stamina, scoring, midrange	shot blocking, rim protection
Pacôme Dadiet	free-throw shooting	efficiency, shot blocking
Payton Sandfort	efficiency, three-point shooting, finishing	rim protection, shot blocking
Rasheer Fleming	strength, midrange, athleticism	free-throw shooting, playmaking
Rayan Rupert	free-throw shooting	rim protection, shot blocking
Ryan Nembhard	passing, free-throw shooting, playmaking	rim protection, shot blocking
Sean Pedulla	ball handling, basketball IQ, passing	rim protection, shot blocking
Taurean Prince	free-throw shooting, three-point shooting, efficiency	shot blocking, rim protection
Terance Mann	stamina, free-throw shooting, decision-making	rim protection, shot blocking
Terrence Shannon Jr.	free-throw shooting	rim protection, shot blocking
Tosan Evbuomwan	finishing, strength, speed	rim protection, shot blocking
Tre Mann	free-throw shooting	efficiency, rim protection
Trevor Keels	ball handling, scoring, steals	rim protection, shot blocking
Trey Jemison	free-throw shooting, finishing, efficiency	steals, three-point shooting
Tyler Burton	free-throw shooting	shot blocking, rim protection
Tyrese Martin	decision-making, free-throw shooting, stamina	rim protection, shot blocking
Walter Clayton	free-throw shooting	shot blocking, rim protection
Yang Hansen	free-throw shooting	efficiency, steals
A.J. Green	three-point shooting, free-throw shooting, efficiency	rim protection, shot blocking
Ace Bailey	stamina, scoring, midrange	playmaking, shot blocking
AJ Johnson	free-throw shooting	shot blocking, efficiency
Ben Saraf	free-throw shooting	shot blocking, rim protection
Bogdan Bogdanović	free-throw shooting	shot blocking, rim protection
Bradley Beal	free-throw shooting, stamina, three-point shooting	rim protection, shot blocking
Daeqwon Plowden	free-throw shooting	shot blocking, rim protection
De'Andre Hunter	free-throw shooting	rim protection, shot blocking
Dorian Finney-Smith	free-throw shooting	efficiency, rim protection
Doug McDermott	free-throw shooting	shot blocking, rim protection
Elijah Harkless	decision-making, free-throw shooting, steals	efficiency, rim protection
Isaac Okoro	free-throw shooting	shot blocking, rim protection
Jaden Hardy	three-point shooting	shot blocking, rim protection
Jahmai Mashack	steals, stamina, perimeter defense	efficiency, free-throw shooting
Jalen Wilson	free-throw shooting, three-point shooting, scoring	rim protection, shot blocking
Jeremiah Robinson-Earl	free-throw shooting	rim protection, shot blocking
Johnny Furphy	midrange, finishing, athleticism	rim protection, shot blocking
Jordan Hawkins	free-throw shooting	efficiency, shot blocking
Kam Jones	decision-making, passing, playmaking	rim protection, shot blocking
Khris Middleton	free-throw shooting	rim protection, shot blocking
Killian Hayes	free-throw shooting	efficiency, rim protection
LJ Cryer	free-throw shooting, three-point shooting	rim protection, shot blocking
Micah Peavy	free-throw shooting, decision-making, steals	efficiency, rim protection
Nate Williams	free-throw shooting, three-point shooting	rim protection, shot blocking
Nick Smith Jr.	three-point shooting, free-throw shooting, scoring	rim protection, shot blocking
Nolan Traoré	free-throw shooting, stamina, passing	efficiency, shot blocking
Ochai Agbaji	free-throw shooting, midrange, finishing	shot blocking, rim protection
Omer Yurtseven	finishing, strength, midrange	rim protection, shot blocking
RayJ Dennis	free-throw shooting	efficiency, steals
Rob Dillingham	stamina, free-throw shooting, midrange	rim protection, shot blocking
Sidy Cissoko	midrange, stamina, finishing	shot blocking, rim protection
Taelon Peter	midrange, finishing, athleticism	rim protection, shot blocking
Toby Okani	stamina, decision-making, scoring	efficiency, rim protection
Tyler Smith	finishing, midrange, athleticism	rim protection, shot blocking
Will Riley	free-throw shooting	rim protection, shot blocking
Cody Williams	stamina, midrange, finishing	shot blocking, rim protection
Drake Powell	free-throw shooting	shot blocking, rim protection
Ethan Thompson	free-throw shooting, decision-making, stamina	shot blocking, rim protection
Gabe Vincent	free-throw shooting	rim protection, shot blocking
Gary Trent Jr.	free-throw shooting, three-point shooting, decision-making	rim protection, shot blocking
Nique Clifford	stamina, free-throw shooting, speed	shot blocking, rim protection
Patrick Williams	stamina, free-throw shooting, three-point shooting	efficiency, shot blocking
Tre Johnson	free-throw shooting	shot blocking, rim protection
